"Date","Price","Open","High","Low","Vol.","Change %"
"10-11-2024","188.89","203.04","206.20","187.93","12.25M","-7.48%"
"03-11-2024","204.17","200.17","216.47","191.70","103.66M","2.00%"
"27-10-2024","200.16","205.00","209.28","198.05","49.37M","-2.87%"
"20-10-2024","206.08","223.00","223.55","202.44","46.07M","-6.93%"
"13-10-2024","221.43","229.40","234.50","217.35","69.72M","-3.47%"
"06-10-2024","229.40","232.00","234.25","221.08","57.55M","-0.34%"
"29-09-2024","230.19","234.00","245.00","229.24","86.52M","-2.87%"
"22-09-2024","236.98","213.00","237.90","211.63","103.55M","11.70%"
"15-09-2024","212.16","220.00","221.45","208.62","76.04M","-3.07%"
"08-09-2024","218.87","222.10","223.00","215.00","52.19M","-1.77%"
"01-09-2024","222.82","238.65","240.29","221.95","56.99M","-6.26%"
"25-08-2024","237.69","231.20","239.33","228.69","75.22M","3.58%"
"18-08-2024","229.47","234.00","241.65","228.85","62.70M","-1.32%"
"11-08-2024","232.55","226.48","234.90","225.07","55.76M","2.27%"
"04-08-2024","227.38","230.00","234.08","221.00","73.10M","-4.06%"
"28-07-2024","237.01","231.50","246.30","230.00","155.72M","2.76%"
"21-07-2024","230.64","217.80","232.62","209.15","80.53M","4.95%"
"14-07-2024","219.76","229.60","239.11","219.02","83.73M","-3.91%"
"07-07-2024","228.71","223.50","234.10","219.86","113.65M","2.58%"
"30-06-2024","222.96","220.25","226.00","217.28","90.97M","1.55%"
"23-06-2024","219.55","212.90","223.15","208.55","103.40M","2.23%"
"16-06-2024","214.76","223.80","224.40","214.00","74.53M","-3.19%"
"09-06-2024","221.83","214.40","225.50","205.89","193.04M","4.29%"
"02-06-2024","212.70","217.00","233.20","173.50","373.81M","4.11%"
"26-05-2024","204.30","206.75","207.15","197.90","101.09M","-0.07%"
"19-05-2024","204.45","206.00","211.30","198.25","135.00M","0.27%"
"12-05-2024","203.90","192.55","205.30","187.35","103.40M","5.89%"
"05-05-2024","192.55","204.50","204.50","189.20","96.83M","-5.52%"
"28-04-2024","203.80","208.90","212.25","200.65","60.63M","-2.04%"
"21-04-2024","208.05","204.50","211.70","195.95","106.55M","3.02%"
"14-04-2024","201.95","197.00","213.65","196.60","129.78M","0.42%"
"07-04-2024","201.10","191.05","209.90","191.05","152.37M","5.43%"
"31-03-2024","190.75","181.40","191.75","177.50","98.31M","5.36%"
"24-03-2024","181.05","174.10","183.70","172.05","47.09M","3.99%"
"17-03-2024","174.10","174.50","178.00","168.70","55.48M","0.17%"
"10-03-2024","173.80","188.00","188.00","165.55","118.59M","-7.82%"
"03-03-2024","188.55","184.90","196.35","184.20","108.95M","2.39%"
"25-02-2024","184.15","180.00","185.95","176.30","74.36M","2.36%"
"18-02-2024","179.90","183.00","187.85","177.70","65.13M","-1.48%"
"11-02-2024","182.60","173.10","186.50","166.35","110.32M","5.49%"
"04-02-2024","173.10","180.00","186.50","168.15","178.16M","-2.70%"
"28-01-2024","177.90","167.95","180.00","165.50","218.29M","7.56%"
"21-01-2024","165.40","170.25","171.80","155.75","92.11M","-1.72%"
"14-01-2024","168.30","163.70","169.20","157.75","132.96M","3.63%"
"07-01-2024","162.40","165.35","165.35","155.85","129.37M","-0.76%"
"31-12-2023","163.65","163.70","169.35","158.10","157.07M","0.96%"
"24-12-2023","162.10","152.45","164.30","150.75","154.27M","7.00%"
"17-12-2023","151.50","146.00","153.15","134.85","152.53M","3.87%"
"10-12-2023","145.85","140.05","149.15","138.00","105.44M","3.92%"
"03-12-2023","140.35","139.00","145.10","137.35","147.56M","3.16%"
"26-11-2023","136.05","124.55","137.35","123.65","173.50M","9.28%"
"19-11-2023","124.50","125.65","126.45","122.90","33.04M","-1.39%"
"12-11-2023","126.25","126.00","129.05","124.80","37.61M","0.52%"
"05-11-2023","125.60","124.70","125.90","122.90","35.21M","1.49%"
"29-10-2023","123.75","118.75","124.20","116.15","86.77M","4.65%"
"22-10-2023","118.25","125.00","125.40","116.85","49.67M","-5.44%"
"15-10-2023","125.05","128.40","132.45","123.25","110.99M","-2.50%"
"08-10-2023","128.25","122.40","132.15","120.90","111.32M","2.93%"
"01-10-2023","124.60","124.40","126.05","120.15","49.23M","0.16%"
"24-09-2023","124.40","121.80","125.00","120.00","48.79M","2.26%"
"17-09-2023","121.65","124.40","125.80","120.95","53.93M","-1.78%"
"10-09-2023","123.85","128.95","129.55","120.80","82.34M","-3.28%"
"03-09-2023","128.05","122.70","128.85","121.30","121.58M","5.52%"
"27-08-2023","121.35","116.30","122.30","114.75","69.48M","4.16%"
"20-08-2023","116.50","112.80","119.20","112.35","59.01M","3.46%"
"13-08-2023","112.60","115.80","115.95","111.50","30.53M","-2.68%"
"06-08-2023","115.70","116.00","119.10","114.10","63.63M","0.35%"
"30-07-2023","115.30","120.35","122.95","114.20","150.96M","-1.87%"
"23-07-2023","117.50","112.20","118.25","111.55","90.57M","5.38%"
"16-07-2023","111.50","110.00","112.30","108.35","45.99M","1.36%"
"09-07-2023","110.00","111.00","111.35","107.50","48.06M","-0.63%"
"02-07-2023","110.70","105.50","112.10","104.70","87.14M","5.38%"
"25-06-2023","105.05","104.50","105.30","103.50","49.49M","0.00%"
"18-06-2023","105.05","107.85","108.70","103.30","52.61M","-2.28%"
"11-06-2023","107.50","105.00","108.00","104.55","39.18M","2.48%"
"04-06-2023","104.90","105.00","106.00","104.10","32.24M","0.29%"
"28-05-2023","104.60","106.90","106.90","103.50","44.53M","-1.65%"
"21-05-2023","106.35","105.00","109.00","104.20","38.08M","1.43%"
"14-05-2023","104.85","108.00","113.95","102.95","75.97M","-2.96%"
"07-05-2023","108.05","107.70","110.20","106.25","36.89M","0.37%"
"30-04-2023","107.65","108.00","109.00","106.35","26.52M","0.33%"
"23-04-2023","107.30","108.40","110.50","105.05","50.38M","-0.97%"
"16-04-2023","108.35","108.15","110.60","107.55","47.20M","0.18%"
"09-04-2023","108.15","106.00","111.00","105.35","45.85M","2.56%"
"02-04-2023","105.45","105.45","106.95","104.30","24.70M","0.29%"
"26-03-2023","105.15","102.75","107.00","102.35","43.75M","1.59%"
"19-03-2023","103.50","110.15","111.30","101.90","113.21M","-6.04%"
"12-03-2023","110.15","112.00","112.45","107.80","110.16M","-0.81%"
"05-03-2023","111.05","106.00","112.80","105.75","104.16M","5.51%"
"26-02-2023","105.25","103.85","106.60","102.15","89.25M","1.74%"
"19-02-2023","103.45","96.40","103.95","93.15","114.44M","7.76%"
"12-02-2023","96.00","95.85","96.85","94.30","45.41M","0.16%"
"05-02-2023","95.85","92.90","96.40","92.20","44.95M","3.29%"
"29-01-2023","92.80","99.25","99.90","91.05","109.84M","-6.40%"
"22-01-2023","99.15","100.00","102.85","97.90","62.05M","0.15%"
"15-01-2023","99.00","96.40","99.20","95.80","41.36M","3.02%"
"08-01-2023","96.10","97.95","98.95","95.25","48.89M","-1.18%"
"01-01-2023","97.25","96.50","98.75","95.15","51.30M","1.25%"
"25-12-2022","96.05","91.50","97.30","90.65","42.21M","4.92%"
"18-12-2022","91.55","97.15","98.50","91.00","73.34M","-5.37%"
"11-12-2022","96.75","91.10","100.20","90.20","113.23M","6.49%"
"04-12-2022","90.85","93.50","94.05","90.30","61.77M","-2.52%"
"27-11-2022","93.20","93.30","95.40","92.05","67.29M","-0.05%"
"20-11-2022","93.25","90.30","93.85","89.50","61.27M","3.27%"
"13-11-2022","90.30","88.60","91.55","87.90","45.87M","1.63%"
"06-11-2022","88.85","88.55","90.80","87.95","40.90M","0.34%"
"30-10-2022","88.55","90.55","91.90","88.10","53.84M","-1.67%"
"23-10-2022","90.05","87.30","90.25","85.80","40.20M","4.16%"
"16-10-2022","86.45","85.10","88.10","84.15","49.62M","1.59%"
"09-10-2022","85.10","85.50","89.50","85.05","48.78M","-2.01%"
"02-10-2022","86.85","87.95","88.15","84.50","47.99M","-0.23%"
"25-09-2022","87.05","85.65","87.25","83.00","62.44M","1.22%"
"18-09-2022","86.00","92.15","92.25","85.70","50.39M","-6.42%"
"11-09-2022","91.90","92.70","93.40","90.20","47.64M","-0.54%"
"04-09-2022","92.40","90.67","93.85","89.40","70.99M","2.44%"
"28-08-2022","90.20","88.87","91.53","88.00","66.50M","0.56%"
"21-08-2022","89.70","87.43","90.93","85.40","90.05M","1.05%"
"14-08-2022","88.77","88.30","90.93","87.47","76.12M","1.25%"
"07-08-2022","87.67","89.33","89.60","85.63","121.85M","-1.05%"
"31-07-2022","88.60","97.73","99.20","88.33","154.75M","-9.34%"
"24-07-2022","97.73","96.53","98.60","95.20","59.22M","3.53%"
"17-07-2022","94.40","93.80","98.27","91.53","61.65M","0.82%"
"10-07-2022","93.63","91.50","94.50","90.77","56.50M","2.33%"
"03-07-2022","91.50","87.33","94.27","86.37","43.51M","3.70%"
"26-06-2022","88.23","89.33","93.60","87.33","64.94M","-0.08%"
"19-06-2022","88.30","93.30","93.30","86.00","82.86M","-4.68%"
"12-06-2022","92.63","98.67","101.27","90.80","76.44M","-6.81%"
"05-06-2022","99.40","97.40","103.47","97.33","62.31M","1.02%"
"29-05-2022","98.40","96.70","101.40","94.33","95.04M","3.36%"
"22-05-2022","95.20","103.33","104.00","94.80","60.45M","-8.64%"
"15-05-2022","104.20","99.30","104.77","98.60","46.03M","5.75%"
"08-05-2022","98.53","105.33","106.63","97.83","73.22M","-7.74%"
"01-05-2022","106.80","105.43","109.00","104.00","55.49M","0.66%"
"24-04-2022","106.10","107.93","108.57","103.00","107.57M","-3.08%"
"17-04-2022","109.47","111.43","115.67","107.00","129.93M","-2.64%"
"10-04-2022","112.43","108.67","113.00","108.37","76.34M","4.01%"
"03-04-2022","108.10","109.07","109.60","105.90","67.66M","0.06%"
"27-03-2022","108.03","101.33","108.27","100.17","142.21M","9.75%"
"20-03-2022","98.43","98.17","99.10","95.13","102.75M","-2.41%"
"13-03-2022","100.87","102.60","104.27","97.80","107.51M","-0.72%"
"06-03-2022","101.60","104.20","109.33","97.83","161.41M","-1.96%"
"27-02-2022","103.63","90.00","106.67","89.23","165.10M","15.32%"
"20-02-2022","89.87","93.60","93.70","85.73","71.13M","-4.29%"
"13-02-2022","93.90","92.67","94.90","89.43","48.36M","0.14%"
"06-02-2022","93.77","98.30","99.27","93.33","83.94M","-4.03%"
"30-01-2022","97.70","95.33","101.30","94.97","85.89M","3.35%"
"23-01-2022","94.53","94.70","97.47","92.07","64.19M","-1.12%"
"16-01-2022","95.60","94.37","99.00","93.83","77.74M","-0.62%"
"09-01-2022","96.20","93.33","97.07","93.30","45.87M","3.40%"
"02-01-2022","93.03","86.33","93.33","86.20","66.16M","8.01%"
"26-12-2021","86.13","87.23","89.00","85.00","54.87M","-1.26%"
"19-12-2021","87.23","86.33","89.43","83.47","66.08M","1.04%"
"12-12-2021","86.33","91.20","91.50","85.10","90.94M","-4.39%"
"05-12-2021","90.30","88.30","90.67","84.57","78.61M","2.42%"
"28-11-2021","88.17","89.07","89.80","85.17","90.13M","-1.01%"
"21-11-2021","89.07","94.00","95.47","88.70","72.47M","-5.21%"
"14-11-2021","93.97","98.57","99.33","93.57","40.69M","-4.76%"
"07-11-2021","98.67","101.67","102.10","98.33","99.69M","-2.31%"
"31-10-2021","101.00","101.67","103.20","99.33","72.15M","1.78%"
"24-10-2021","99.23","101.03","104.17","97.00","97.02M","-1.10%"
"17-10-2021","100.33","107.33","109.20","99.07","87.99M","-5.97%"
"10-10-2021","106.70","105.93","109.13","104.70","65.81M","1.20%"
"03-10-2021","105.43","109.60","114.20","105.10","152.34M","-3.07%"
"26-09-2021","108.77","103.33","110.80","101.33","213.29M","6.91%"
"19-09-2021","101.73","101.33","103.77","96.67","85.31M","-0.97%"
"12-09-2021","102.73","97.30","106.50","96.30","141.55M","6.17%"
"05-09-2021","96.77","99.33","99.73","96.00","51.14M","-1.53%"
"29-08-2021","98.27","95.57","99.57","95.57","90.18M","2.72%"
"22-08-2021","95.67","95.07","98.67","93.33","88.82M","2.24%"
"15-08-2021","93.57","98.97","99.50","93.33","44.25M","-5.42%"
"08-08-2021","98.93","100.13","101.27","95.87","94.47M","-0.24%"
"01-08-2021","99.17","93.97","102.63","92.90","163.61M","6.59%"
"25-07-2021","93.03","94.67","94.73","91.07","72.82M","-2.00%"
"18-07-2021","94.93","96.53","98.67","93.83","61.78M","-1.66%"
"11-07-2021","96.53","99.00","100.93","95.33","81.98M","-1.60%"
"04-07-2021","98.10","101.53","103.40","98.00","64.32M","-2.74%"
"27-06-2021","100.87","103.07","103.43","99.50","65.95M","-1.18%"
"20-06-2021","102.07","102.00","105.80","100.83","66.40M","-1.26%"
"13-06-2021","103.37","109.60","110.80","101.73","108.34M","-5.31%"
"06-06-2021","109.17","108.33","113.53","105.53","208.20M","1.08%"
"30-05-2021","108.00","102.67","109.83","102.13","152.33M","5.92%"
"23-05-2021","101.97","97.67","104.93","97.27","121.53M","4.94%"
"16-05-2021","97.17","102.67","105.33","96.87","104.57M","-4.55%"
"09-05-2021","101.80","100.17","110.50","100.17","149.50M","1.63%"
"02-05-2021","100.17","90.73","101.77","89.77","159.01M","9.51%"
"25-04-2021","91.47","87.13","94.30","86.50","83.04M","6.03%"
"18-04-2021","86.27","90.00","93.17","85.67","97.77M","-7.31%"
"11-04-2021","93.07","89.60","94.93","87.03","91.61M","0.58%"
"04-04-2021","92.53","92.67","94.57","89.40","114.90M","-0.96%"
"28-03-2021","93.43","89.27","93.97","87.20","183.23M","6.33%"
"21-03-2021","87.87","93.33","93.33","84.97","122.84M","-4.84%"
"14-03-2021","92.33","98.53","98.53","85.87","170.38M","-5.69%"
"07-03-2021","97.90","98.93","105.30","97.10","180.66M","-0.20%"
"28-02-2021","98.10","96.07","100.00","95.00","151.32M","3.77%"
"21-02-2021","94.53","96.67","101.87","93.60","222.90M","-2.48%"
"14-02-2021","96.93","89.30","99.63","87.90","357.09M","9.41%"
"07-02-2021","88.60","86.60","92.00","86.10","197.60M","3.67%"
"31-01-2021","85.47","82.83","90.17","82.83","139.48M","2.32%"
"24-01-2021","83.53","90.00","91.30","82.87","130.56M","-6.53%"
"17-01-2021","89.37","93.87","94.67","88.37","183.91M","-3.21%"
"10-01-2021","92.33","89.33","97.47","88.03","275.33M","4.33%"
"03-01-2021","88.50","83.20","90.67","83.10","196.44M","7.36%"
"27-12-2020","82.43","80.77","83.07","80.37","95.66M","2.91%"
"20-12-2020","80.10","83.33","83.33","75.03","161.03M","-3.92%"
"13-12-2020","83.37","84.67","85.47","80.80","141.36M","-0.64%"
"06-12-2020","83.90","80.50","85.87","79.57","203.79M","5.05%"
"29-11-2020","79.87","69.10","81.33","68.73","416.74M","16.71%"
"22-11-2020","68.43","66.00","71.13","65.07","196.53M","5.34%"
"15-11-2020","64.97","62.67","65.30","61.80","108.35M","5.01%"
"08-11-2020","61.87","57.47","62.93","57.10","143.55M","8.16%"
"01-11-2020","57.20","56.73","58.63","55.37","92.25M","1.24%"
"25-10-2020","56.50","58.43","58.53","54.77","82.30M","-2.92%"
"18-10-2020","58.20","56.13","59.57","56.00","114.67M","3.93%"
"11-10-2020","56.00","57.60","57.67","54.13","81.41M","-1.98%"
"04-10-2020","57.13","59.00","59.87","55.53","96.86M","-3.05%"
"27-09-2020","58.93","57.70","59.40","57.00","58.87M","3.76%"
"20-09-2020","56.80","61.47","61.47","54.63","125.71M","-7.49%"
"13-09-2020","61.40","61.27","62.43","60.33","95.22M","1.49%"
"06-09-2020","60.50","65.33","65.90","59.87","104.47M","-7.45%"
"30-08-2020","65.37","66.60","67.67","62.67","110.98M","-1.06%"
"23-08-2020","66.07","68.00","68.80","65.87","69.97M","-2.60%"
"16-08-2020","67.83","64.10","68.77","63.73","137.24M","6.04%"
"09-08-2020","63.97","64.83","66.40","63.77","96.05M","-0.98%"
"02-08-2020","64.60","64.60","64.93","61.90","98.67M","0.26%"
"26-07-2020","64.43","66.80","67.17","64.17","64.92M","-2.91%"
"19-07-2020","66.37","67.80","70.00","65.87","93.55M","-1.29%"
"12-07-2020","67.23","69.30","69.30","62.97","78.98M","-1.51%"
"05-07-2020","68.27","69.27","71.67","67.80","127.55M","-2.38%"
"28-06-2020","69.93","70.03","70.67","66.83","94.00M","-0.24%"
"21-06-2020","70.10","66.60","71.33","65.20","203.93M","5.68%"
"14-06-2020","66.33","64.20","67.93","63.00","139.00M","3.27%"
"07-06-2020","64.23","66.30","70.87","60.83","236.38M","-1.53%"
"31-05-2020","65.23","62.63","66.23","60.60","109.46M","5.95%"
"24-05-2020","61.57","58.13","62.50","57.43","78.07M","5.91%"
"17-05-2020","58.13","57.40","58.80","53.67","103.95M","1.63%"
"10-05-2020","57.20","61.33","63.07","56.50","91.42M","-6.08%"
"03-05-2020","60.90","61.47","64.17","59.73","110.09M","-4.55%"
"26-04-2020","63.80","55.07","64.37","54.17","116.35M","17.42%"
"19-04-2020","54.33","60.67","60.67","52.47","130.97M","-9.14%"
"12-04-2020","59.80","59.13","61.30","55.87","69.35M","2.22%"
"05-04-2020","58.50","56.00","63.30","55.03","91.60M","8.47%"
"29-03-2020","53.93","46.27","54.67","45.03","118.02M","16.40%"
"22-03-2020","46.33","49.33","55.00","46.07","128.93M","-13.99%"
"15-03-2020","53.87","54.67","55.07","43.73","182.28M","-4.44%"
"08-03-2020","56.37","69.07","69.90","43.33","196.53M","-21.57%"
"01-03-2020","71.87","70.67","74.17","65.80","135.97M","3.26%"
"23-02-2020","69.60","79.00","79.53","68.00","115.91M","-12.49%"
"16-02-2020","79.53","81.33","81.33","77.83","71.69M","-2.65%"
"09-02-2020","81.70","82.73","88.33","79.50","177.99M","-0.37%"
"02-02-2020","82.00","81.00","83.07","76.00","95.80M","2.12%"
"26-01-2020","80.30","86.00","86.33","79.60","69.24M","-6.99%"
"19-01-2020","86.33","84.00","87.80","83.03","80.00M","2.49%"
"12-01-2020","84.23","83.93","88.90","81.83","111.95M","0.80%"
"05-01-2020","83.57","83.33","85.17","81.83","53.93M","-0.24%"
"29-12-2019","83.77","79.03","85.87","78.90","78.44M","5.99%"
"22-12-2019","79.03","79.13","81.13","78.40","49.10M","-0.84%"
"15-12-2019","79.70","79.87","81.60","77.03","73.26M","-0.21%"
"08-12-2019","79.87","78.53","80.60","73.63","106.74M","2.26%"
"01-12-2019","78.10","85.23","85.23","77.23","68.42M","-7.06%"
