Date,Price,Open,High,Low,Vol.,Change %,date
2019-11-03,84.7,90.97,93.17,83.93,79.96M,-5.99%,2019-11-03
2019-11-10,82.87,84.6,87.2,79.73,96.92M,-2.16%,2019-11-10
2019-11-17,81.57,82.47,83.87,80.7,65.36M,-1.57%,2019-11-17
2019-11-24,84.03,82.0,85.63,81.0,88.69M,3.02%,2019-11-24
2019-12-01,78.1,85.23,85.23,77.23,68.42M,-7.06%,2019-12-01
2019-12-08,79.87,78.53,80.6,73.63,106.74M,2.26%,2019-12-08
2019-12-15,79.7,79.87,81.6,77.03,73.26M,-0.21%,2019-12-15
2019-12-22,79.03,79.13,81.13,78.4,49.10M,-0.84%,2019-12-22
2019-12-29,83.77,79.03,85.87,78.9,78.44M,5.99%,2019-12-29
2020-01-05,83.57,83.33,85.17,81.83,53.93M,-0.24%,2020-01-05
2020-01-12,84.23,83.93,88.9,81.83,111.95M,0.80%,2020-01-12
2020-01-19,86.33,84.0,87.8,83.03,80.00M,2.49%,2020-01-19
2020-01-26,80.3,86.0,86.33,79.6,69.24M,-6.99%,2020-01-26
2020-02-02,82.0,81.0,83.07,76.0,95.80M,2.12%,2020-02-02
2020-02-09,81.7,82.73,88.33,79.5,177.99M,-0.37%,2020-02-09
2020-02-16,79.53,81.33,81.33,77.83,71.69M,-2.65%,2020-02-16
2020-02-23,69.6,79.0,79.53,68.0,115.91M,-12.49%,2020-02-23
2020-03-01,71.87,70.67,74.17,65.8,135.97M,3.26%,2020-03-01
2020-03-08,56.37,69.07,69.9,43.33,196.53M,-21.57%,2020-03-08
2020-03-15,53.87,54.67,55.07,43.73,182.28M,-4.44%,2020-03-15
2020-03-22,46.33,49.33,55.0,46.07,128.93M,-13.99%,2020-03-22
2020-03-29,53.93,46.27,54.67,45.03,118.02M,16.40%,2020-03-29
2020-04-05,58.5,56.0,63.3,55.03,91.60M,8.47%,2020-04-05
2020-04-12,59.8,59.13,61.3,55.87,69.35M,2.22%,2020-04-12
2020-04-19,54.33,60.67,60.67,52.47,130.97M,-9.14%,2020-04-19
2020-04-26,63.8,55.07,64.37,54.17,116.35M,17.42%,2020-04-26
2020-05-03,60.9,61.47,64.17,59.73,110.09M,-4.55%,2020-05-03
2020-05-10,57.2,61.33,63.07,56.5,91.42M,-6.08%,2020-05-10
2020-05-17,58.13,57.4,58.8,53.67,103.95M,1.63%,2020-05-17
2020-05-24,61.57,58.13,62.5,57.43,78.07M,5.91%,2020-05-24
2020-05-31,65.23,62.63,66.23,60.6,109.46M,5.95%,2020-05-31
2020-06-07,64.23,66.3,70.87,60.83,236.38M,-1.53%,2020-06-07
2020-06-14,66.33,64.2,67.93,63.0,139.00M,3.27%,2020-06-14
2020-06-21,70.1,66.6,71.33,65.2,203.93M,5.68%,2020-06-21
2020-06-28,69.93,70.03,70.67,66.83,94.00M,-0.24%,2020-06-28
2020-07-05,68.27,69.27,71.67,67.8,127.55M,-2.38%,2020-07-05
2020-07-12,67.23,69.3,69.3,62.97,78.98M,-1.51%,2020-07-12
2020-07-19,66.37,67.8,70.0,65.87,93.55M,-1.29%,2020-07-19
2020-07-26,64.43,66.8,67.17,64.17,64.92M,-2.91%,2020-07-26
2020-08-02,64.6,64.6,64.93,61.9,98.67M,0.26%,2020-08-02
2020-08-09,63.97,64.83,66.4,63.77,96.05M,-0.98%,2020-08-09
2020-08-16,67.83,64.1,68.77,63.73,137.24M,6.04%,2020-08-16
2020-08-23,66.07,68.0,68.8,65.87,69.97M,-2.60%,2020-08-23
2020-08-30,65.37,66.6,67.67,62.67,110.98M,-1.06%,2020-08-30
2020-09-06,60.5,65.33,65.9,59.87,104.47M,-7.45%,2020-09-06
2020-09-13,61.4,61.27,62.43,60.33,95.22M,1.49%,2020-09-13
2020-09-20,56.8,61.47,61.47,54.63,125.71M,-7.49%,2020-09-20
2020-09-27,58.93,57.7,59.4,57.0,58.87M,3.76%,2020-09-27
2020-10-04,57.13,59.0,59.87,55.53,96.86M,-3.05%,2020-10-04
2020-10-11,56.0,57.6,57.67,54.13,81.41M,-1.98%,2020-10-11
2020-10-18,58.2,56.13,59.57,56.0,114.67M,3.93%,2020-10-18
2020-10-25,56.5,58.43,58.53,54.77,82.30M,-2.92%,2020-10-25
2020-11-01,57.2,56.73,58.63,55.37,92.25M,1.24%,2020-11-01
2020-11-08,61.87,57.47,62.93,57.1,143.55M,8.16%,2020-11-08
2020-11-15,64.97,62.67,65.3,61.8,108.35M,5.01%,2020-11-15
2020-11-22,68.43,66.0,71.13,65.07,196.53M,5.34%,2020-11-22
2020-11-29,79.87,69.1,81.33,68.73,416.74M,16.71%,2020-11-29
2020-12-06,83.9,80.5,85.87,79.57,203.79M,5.05%,2020-12-06
2020-12-13,83.37,84.67,85.47,80.8,141.36M,-0.64%,2020-12-13
2020-12-20,80.1,83.33,83.33,75.03,161.03M,-3.92%,2020-12-20
2020-12-27,82.43,80.77,83.07,80.37,95.66M,2.91%,2020-12-27
2021-01-03,88.5,83.2,90.67,83.1,196.44M,7.36%,2021-01-03
2021-01-10,92.33,89.33,97.47,88.03,275.33M,4.33%,2021-01-10
2021-01-17,89.37,93.87,94.67,88.37,183.91M,-3.21%,2021-01-17
2021-01-24,83.53,90.0,91.3,82.87,130.56M,-6.53%,2021-01-24
2021-01-31,85.47,82.83,90.17,82.83,139.48M,2.32%,2021-01-31
2021-02-07,88.6,86.6,92.0,86.1,197.60M,3.67%,2021-02-07
2021-02-14,96.93,89.3,99.63,87.9,357.09M,9.41%,2021-02-14
2021-02-21,94.53,96.67,101.87,93.6,222.90M,-2.48%,2021-02-21
2021-02-28,98.1,96.07,100.0,95.0,151.32M,3.77%,2021-02-28
2021-03-07,97.9,98.93,105.3,97.1,180.66M,-0.20%,2021-03-07
2021-03-14,92.33,98.53,98.53,85.87,170.38M,-5.69%,2021-03-14
2021-03-21,87.87,93.33,93.33,84.97,122.84M,-4.84%,2021-03-21
2021-03-28,93.43,89.27,93.97,87.2,183.23M,6.33%,2021-03-28
2021-04-04,92.53,92.67,94.57,89.4,114.90M,-0.96%,2021-04-04
2021-04-11,93.07,89.6,94.93,87.03,91.61M,0.58%,2021-04-11
2021-04-18,86.27,90.0,93.17,85.67,97.77M,-7.31%,2021-04-18
2021-04-25,91.47,87.13,94.3,86.5,83.04M,6.03%,2021-04-25
2021-05-02,100.17,90.73,101.77,89.77,159.01M,9.51%,2021-05-02
2021-05-09,101.8,100.17,110.5,100.17,149.50M,1.63%,2021-05-09
2021-05-16,97.17,102.67,105.33,96.87,104.57M,-4.55%,2021-05-16
2021-05-23,101.97,97.67,104.93,97.27,121.53M,4.94%,2021-05-23
2021-05-30,108.0,102.67,109.83,102.13,152.33M,5.92%,2021-05-30
2021-06-06,109.17,108.33,113.53,105.53,208.20M,1.08%,2021-06-06
2021-06-13,103.37,109.6,110.8,101.73,108.34M,-5.31%,2021-06-13
2021-06-20,102.07,102.0,105.8,100.83,66.40M,-1.26%,2021-06-20
2021-06-27,100.87,103.07,103.43,99.5,65.95M,-1.18%,2021-06-27
2021-07-04,98.1,101.53,103.4,98.0,64.32M,-2.74%,2021-07-04
2021-07-11,96.53,99.0,100.93,95.33,81.98M,-1.60%,2021-07-11
2021-07-18,94.93,96.53,98.67,93.83,61.78M,-1.66%,2021-07-18
2021-07-25,93.03,94.67,94.73,91.07,72.82M,-2.00%,2021-07-25
2021-08-01,99.17,93.97,102.63,92.9,163.61M,6.59%,2021-08-01
2021-08-08,98.93,100.13,101.27,95.87,94.47M,-0.24%,2021-08-08
2021-08-15,93.57,98.97,99.5,93.33,44.25M,-5.42%,2021-08-15
2021-08-22,95.67,95.07,98.67,93.33,88.82M,2.24%,2021-08-22
2021-08-29,98.27,95.57,99.57,95.57,90.18M,2.72%,2021-08-29
2021-09-05,96.77,99.33,99.73,96.0,51.14M,-1.53%,2021-09-05
2021-09-12,102.73,97.3,106.5,96.3,141.55M,6.17%,2021-09-12
2021-09-19,101.73,101.33,103.77,96.67,85.31M,-0.97%,2021-09-19
2021-09-26,108.77,103.33,110.8,101.33,213.29M,6.91%,2021-09-26
2021-10-03,105.43,109.6,114.2,105.1,152.34M,-3.07%,2021-10-03
2021-10-10,106.7,105.93,109.13,104.7,65.81M,1.20%,2021-10-10
2021-10-17,100.33,107.33,109.2,99.07,87.99M,-5.97%,2021-10-17
2021-10-24,99.23,101.03,104.17,97.0,97.02M,-1.10%,2021-10-24
2021-10-31,101.0,101.67,103.2,99.33,72.15M,1.78%,2021-10-31
2021-11-07,98.67,101.67,102.1,98.33,99.69M,-2.31%,2021-11-07
2021-11-14,93.97,98.57,99.33,93.57,40.69M,-4.76%,2021-11-14
2021-11-21,89.07,94.0,95.47,88.7,72.47M,-5.21%,2021-11-21
2021-11-28,88.17,89.07,89.8,85.17,90.13M,-1.01%,2021-11-28
2021-12-05,90.3,88.3,90.67,84.57,78.61M,2.42%,2021-12-05
2021-12-12,86.33,91.2,91.5,85.1,90.94M,-4.39%,2021-12-12
2021-12-19,87.23,86.33,89.43,83.47,66.08M,1.04%,2021-12-19
2021-12-26,86.13,87.23,89.0,85.0,54.87M,-1.26%,2021-12-26
2022-01-02,93.03,86.33,93.33,86.2,66.16M,8.01%,2022-01-02
2022-01-09,96.2,93.33,97.07,93.3,45.87M,3.40%,2022-01-09
2022-01-16,95.6,94.37,99.0,93.83,77.74M,-0.62%,2022-01-16
2022-01-23,94.53,94.7,97.47,92.07,64.19M,-1.12%,2022-01-23
2022-01-30,97.7,95.33,101.3,94.97,85.89M,3.35%,2022-01-30
2022-02-06,93.77,98.3,99.27,93.33,83.94M,-4.03%,2022-02-06
2022-02-13,93.9,92.67,94.9,89.43,48.36M,0.14%,2022-02-13
2022-02-20,89.87,93.6,93.7,85.73,71.13M,-4.29%,2022-02-20
2022-02-27,103.63,90.0,106.67,89.23,165.10M,15.32%,2022-02-27
2022-03-06,101.6,104.2,109.33,97.83,161.41M,-1.96%,2022-03-06
2022-03-13,100.87,102.6,104.27,97.8,107.51M,-0.72%,2022-03-13
2022-03-20,98.43,98.17,99.1,95.13,102.75M,-2.41%,2022-03-20
2022-03-27,108.03,101.33,108.27,100.17,142.21M,9.75%,2022-03-27
2022-04-03,108.1,109.07,109.6,105.9,67.66M,0.06%,2022-04-03
2022-04-10,112.43,108.67,113.0,108.37,76.34M,4.01%,2022-04-10
2022-04-17,109.47,111.43,115.67,107.0,129.93M,-2.64%,2022-04-17
2022-04-24,106.1,107.93,108.57,103.0,107.57M,-3.08%,2022-04-24
2022-05-01,106.8,105.43,109.0,104.0,55.49M,0.66%,2022-05-01
2022-05-08,98.53,105.33,106.63,97.83,73.22M,-7.74%,2022-05-08
2022-05-15,104.2,99.3,104.77,98.6,46.03M,5.75%,2022-05-15
2022-05-22,95.2,103.33,104.0,94.8,60.45M,-8.64%,2022-05-22
2022-05-29,98.4,96.7,101.4,94.33,95.04M,3.36%,2022-05-29
2022-06-05,99.4,97.4,103.47,97.33,62.31M,1.02%,2022-06-05
2022-06-12,92.63,98.67,101.27,90.8,76.44M,-6.81%,2022-06-12
2022-06-19,88.3,93.3,93.3,86.0,82.86M,-4.68%,2022-06-19
2022-06-26,88.23,89.33,93.6,87.33,64.94M,-0.08%,2022-06-26
2022-07-03,91.5,87.33,94.27,86.37,43.51M,3.70%,2022-07-03
2022-07-10,93.63,91.5,94.5,90.77,56.50M,2.33%,2022-07-10
2022-07-17,94.4,93.8,98.27,91.53,61.65M,0.82%,2022-07-17
2022-07-24,97.73,96.53,98.6,95.2,59.22M,3.53%,2022-07-24
2022-07-31,88.6,97.73,99.2,88.33,154.75M,-9.34%,2022-07-31
2022-08-07,87.67,89.33,89.6,85.63,121.85M,-1.05%,2022-08-07
2022-08-14,88.77,88.3,90.93,87.47,76.12M,1.25%,2022-08-14
2022-08-21,89.7,87.43,90.93,85.4,90.05M,1.05%,2022-08-21
2022-08-28,90.2,88.87,91.53,88.0,66.50M,0.56%,2022-08-28
2022-09-04,92.4,90.67,93.85,89.4,70.99M,2.44%,2022-09-04
2022-09-11,91.9,92.7,93.4,90.2,47.64M,-0.54%,2022-09-11
2022-09-18,86.0,92.15,92.25,85.7,50.39M,-6.42%,2022-09-18
2022-09-25,87.05,85.65,87.25,83.0,62.44M,1.22%,2022-09-25
2022-10-02,86.85,87.95,88.15,84.5,47.99M,-0.23%,2022-10-02
2022-10-09,85.1,85.5,89.5,85.05,48.78M,-2.01%,2022-10-09
2022-10-16,86.45,85.1,88.1,84.15,49.62M,1.59%,2022-10-16
2022-10-23,90.05,87.3,90.25,85.8,40.20M,4.16%,2022-10-23
2022-10-30,88.55,90.55,91.9,88.1,53.84M,-1.67%,2022-10-30
2022-11-06,88.85,88.55,90.8,87.95,40.90M,0.34%,2022-11-06
2022-11-13,90.3,88.6,91.55,87.9,45.87M,1.63%,2022-11-13
2022-11-20,93.25,90.3,93.85,89.5,61.27M,3.27%,2022-11-20
2022-11-27,93.2,93.3,95.4,92.05,67.29M,-0.05%,2022-11-27
2022-12-04,90.85,93.5,94.05,90.3,61.77M,-2.52%,2022-12-04
2022-12-11,96.75,91.1,100.2,90.2,113.23M,6.49%,2022-12-11
2022-12-18,91.55,97.15,98.5,91.0,73.34M,-5.37%,2022-12-18
2022-12-25,96.05,91.5,97.3,90.65,42.21M,4.92%,2022-12-25
2023-01-01,97.25,96.5,98.75,95.15,51.30M,1.25%,2023-01-01
2023-01-08,96.1,97.95,98.95,95.25,48.89M,-1.18%,2023-01-08
2023-01-15,99.0,96.4,99.2,95.8,41.36M,3.02%,2023-01-15
2023-01-22,99.15,100.0,102.85,97.9,62.05M,0.15%,2023-01-22
2023-01-29,92.8,99.25,99.9,91.05,109.84M,-6.40%,2023-01-29
2023-02-05,95.85,92.9,96.4,92.2,44.95M,3.29%,2023-02-05
2023-02-12,96.0,95.85,96.85,94.3,45.41M,0.16%,2023-02-12
2023-02-19,103.45,96.4,103.95,93.15,114.44M,7.76%,2023-02-19
2023-02-26,105.25,103.85,106.6,102.15,89.25M,1.74%,2023-02-26
2023-03-05,111.05,106.0,112.8,105.75,104.16M,5.51%,2023-03-05
2023-03-12,110.15,112.0,112.45,107.8,110.16M,-0.81%,2023-03-12
2023-03-19,103.5,110.15,111.3,101.9,113.21M,-6.04%,2023-03-19
2023-03-26,105.15,102.75,107.0,102.35,43.75M,1.59%,2023-03-26
2023-04-02,105.45,105.45,106.95,104.3,24.70M,0.29%,2023-04-02
2023-04-09,108.15,106.0,111.0,105.35,45.85M,2.56%,2023-04-09
2023-04-16,108.35,108.15,110.6,107.55,47.20M,0.18%,2023-04-16
2023-04-23,107.3,108.4,110.5,105.05,50.38M,-0.97%,2023-04-23
2023-04-30,107.65,108.0,109.0,106.35,26.52M,0.33%,2023-04-30
2023-05-07,108.05,107.7,110.2,106.25,36.89M,0.37%,2023-05-07
2023-05-14,104.85,108.0,113.95,102.95,75.97M,-2.96%,2023-05-14
2023-05-21,106.35,105.0,109.0,104.2,38.08M,1.43%,2023-05-21
2023-05-28,104.6,106.9,106.9,103.5,44.53M,-1.65%,2023-05-28
2023-06-04,104.9,105.0,106.0,104.1,32.24M,0.29%,2023-06-04
2023-06-11,107.5,105.0,108.0,104.55,39.18M,2.48%,2023-06-11
2023-06-18,105.05,107.85,108.7,103.3,52.61M,-2.28%,2023-06-18
2023-06-25,105.05,104.5,105.3,103.5,49.49M,0.00%,2023-06-25
2023-07-02,110.7,105.5,112.1,104.7,87.14M,5.38%,2023-07-02
2023-07-09,110.0,111.0,111.35,107.5,48.06M,-0.63%,2023-07-09
2023-07-16,111.5,110.0,112.3,108.35,45.99M,1.36%,2023-07-16
2023-07-23,117.5,112.2,118.25,111.55,90.57M,5.38%,2023-07-23
2023-07-30,115.3,120.35,122.95,114.2,150.96M,-1.87%,2023-07-30
2023-08-06,115.7,116.0,119.1,114.1,63.63M,0.35%,2023-08-06
2023-08-13,112.6,115.8,115.95,111.5,30.53M,-2.68%,2023-08-13
2023-08-20,116.5,112.8,119.2,112.35,59.01M,3.46%,2023-08-20
2023-08-27,121.35,116.3,122.3,114.75,69.48M,4.16%,2023-08-27
2023-09-03,128.05,122.7,128.85,121.3,121.58M,5.52%,2023-09-03
2023-09-10,123.85,128.95,129.55,120.8,82.34M,-3.28%,2023-09-10
2023-09-17,121.65,124.4,125.8,120.95,53.93M,-1.78%,2023-09-17
2023-09-24,124.4,121.8,125.0,120.0,48.79M,2.26%,2023-09-24
2023-10-01,124.6,124.4,126.05,120.15,49.23M,0.16%,2023-10-01
2023-10-08,128.25,122.4,132.15,120.9,111.32M,2.93%,2023-10-08
2023-10-15,125.05,128.4,132.45,123.25,110.99M,-2.50%,2023-10-15
2023-10-22,118.25,125.0,125.4,116.85,49.67M,-5.44%,2023-10-22
2023-10-29,123.75,118.75,124.2,116.15,86.77M,4.65%,2023-10-29
2023-11-05,125.6,124.7,125.9,122.9,35.21M,1.49%,2023-11-05
2023-11-12,126.25,126.0,129.05,124.8,37.61M,0.52%,2023-11-12
2023-11-19,124.5,125.65,126.45,122.9,33.04M,-1.39%,2023-11-19
2023-11-26,136.05,124.55,137.35,123.65,173.50M,9.28%,2023-11-26
2023-12-03,140.35,139.0,145.1,137.35,147.56M,3.16%,2023-12-03
2023-12-10,145.85,140.05,149.15,138.0,105.44M,3.92%,2023-12-10
2023-12-17,151.5,146.0,153.15,134.85,152.53M,3.87%,2023-12-17
2023-12-24,162.1,152.45,164.3,150.75,154.27M,7.00%,2023-12-24
2023-12-31,163.65,163.7,169.35,158.1,157.07M,0.96%,2023-12-31
2024-01-07,162.4,165.35,165.35,155.85,129.37M,-0.76%,2024-01-07
2024-01-14,168.3,163.7,169.2,157.75,132.96M,3.63%,2024-01-14
2024-01-21,165.4,170.25,171.8,155.75,92.11M,-1.72%,2024-01-21
2024-01-28,177.9,167.95,180.0,165.5,218.29M,7.56%,2024-01-28
2024-02-04,173.1,180.0,186.5,168.15,178.16M,-2.70%,2024-02-04
2024-02-11,182.6,173.1,186.5,166.35,110.32M,5.49%,2024-02-11
2024-02-18,179.9,183.0,187.85,177.7,65.13M,-1.48%,2024-02-18
2024-02-25,184.15,180.0,185.95,176.3,74.36M,2.36%,2024-02-25
2024-03-03,188.55,184.9,196.35,184.2,108.95M,2.39%,2024-03-03
2024-03-10,173.8,188.0,188.0,165.55,118.59M,-7.82%,2024-03-10
2024-03-17,174.1,174.5,178.0,168.7,55.48M,0.17%,2024-03-17
2024-03-24,181.05,174.1,183.7,172.05,47.09M,3.99%,2024-03-24
2024-03-31,190.75,181.4,191.75,177.5,98.31M,5.36%,2024-03-31
2024-04-07,201.1,191.05,209.9,191.05,152.37M,5.43%,2024-04-07
2024-04-14,201.95,197.0,213.65,196.6,129.78M,0.42%,2024-04-14
2024-04-21,208.05,204.5,211.7,195.95,106.55M,3.02%,2024-04-21
2024-04-28,203.8,208.9,212.25,200.65,60.63M,-2.04%,2024-04-28
2024-05-05,192.55,204.5,204.5,189.2,96.83M,-5.52%,2024-05-05
2024-05-12,203.9,192.55,205.3,187.35,103.40M,5.89%,2024-05-12
2024-05-19,204.45,206.0,211.3,198.25,135.00M,0.27%,2024-05-19
2024-05-26,204.3,206.75,207.15,197.9,101.09M,-0.07%,2024-05-26
2024-06-02,212.7,217.0,233.2,173.5,373.81M,4.11%,2024-06-02
2024-06-09,221.83,214.4,225.5,205.89,193.04M,4.29%,2024-06-09
2024-06-16,214.76,223.8,224.4,214.0,74.53M,-3.19%,2024-06-16
2024-06-23,219.55,212.9,223.15,208.55,103.40M,2.23%,2024-06-23
2024-06-30,222.96,220.25,226.0,217.28,90.97M,1.55%,2024-06-30
2024-07-07,228.71,223.5,234.1,219.86,113.65M,2.58%,2024-07-07
2024-07-14,219.76,229.6,239.11,219.02,83.73M,-3.91%,2024-07-14
2024-07-21,230.64,217.8,232.62,209.15,80.53M,4.95%,2024-07-21
2024-07-28,237.01,231.5,246.3,230.0,155.72M,2.76%,2024-07-28
2024-08-04,227.38,230.0,234.08,221.0,73.10M,-4.06%,2024-08-04
2024-08-11,232.55,226.48,234.9,225.07,55.76M,2.27%,2024-08-11
2024-08-18,229.47,234.0,241.65,228.85,62.70M,-1.32%,2024-08-18
2024-08-25,237.69,231.2,239.33,228.69,75.22M,3.58%,2024-08-25
2024-09-01,222.82,238.65,240.29,221.95,56.99M,-6.26%,2024-09-01
2024-09-08,218.87,222.1,223.0,215.0,52.19M,-1.77%,2024-09-08
2024-09-15,212.16,220.0,221.45,208.62,76.04M,-3.07%,2024-09-15
2024-09-22,236.98,213.0,237.9,211.63,103.55M,11.70%,2024-09-22
2024-09-29,230.19,234.0,245.0,229.24,86.52M,-2.87%,2024-09-29
2024-10-06,229.4,232.0,234.25,221.08,57.55M,-0.34%,2024-10-06
2024-10-13,221.43,229.4,234.5,217.35,69.72M,-3.47%,2024-10-13
2024-10-20,206.08,223.0,223.55,202.44,46.07M,-6.93%,2024-10-20
2024-10-27,200.16,205.0,209.28,198.05,49.37M,-2.87%,2024-10-27
2024-11-03,204.17,200.17,216.47,191.7,103.66M,2.00%,2024-11-03
2024-11-10,188.89,203.04,206.2,187.93,12.25M,-7.48%,2024-11-10
